"customerid","count","quarter","referred_a_friend","number_of_referrals","tenure_in_months","offer","phone_service","avg_monthly_long_distance_charges","multiple_lines","internet_service","internet_type","avg_monthly_gb_download","online_security","online_backup","device_protection_plan","premium_tech_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_refunds","total_extra_data_charges","total_long_distance_charges","total_revenue","satisfaction_score","customer_status","churn_label","churn_value","churn_score","cltv","churn_category","churn_reason","country","state","city","zip_code","lat_long","latitude","longitude","gender","age","under_30","senior_citizen","married","dependents","number_of_dependents","population"
"0094-OIFMO",1,"Q3","No",0,11,"Offer D","Yes","11.59","No","Yes","Fiber Optic",29,"No","Yes","No","No","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal","95.00","1120.30","0.00","120.00","127.49","1367.79",1,"Churned","Yes",1,85,5980,"Dissatisfaction","Product dissatisfaction","United States","California","North Hollywood","91605","34.207295, -118.400022","34.20729500","-118.40002200","Female",78,"No","Yes","No","Yes",1,57146
"9947-OTFQU",1,"Q3","No",0,15,"Offer D","Yes","29.11","No","Yes","Fiber Optic",29,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","74.40","1074.30","0.00","0.00","436.65","1510.95",1,"Churned","Yes",1,86,4616,"Competitor","Competitor had better devices","United States","California","Covina","91722","34.097345, -117.906736","34.09734500","-117.90673600","Male",65,"No","Yes","No","No",0,33817
"9514-JDSKI",1,"Q3","Yes",1,1,"Offer E","No","0.00","No","Yes","DSL",12,"No","Yes","No","No","Yes","No","No","Yes","Month-to-Month","No","Bank Withdrawal","40.20","40.20","0.00","0.00","0.00","40.20",2,"Churned","Yes",1,65,5828,"Dissatisfaction","Limited range of services","United States","California","El Monte","91732","34.074492, -118.01462","34.07449200","-118.01462000","Male",77,"No","Yes","Yes","No",0,62660
"7273-TEFQD",1,"Q3","No",0,3,"Offer E","No","0.00","No","Yes","DSL",28,"No","No","Yes","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","41.15","132.20","0.00","0.00","0.00","132.20",2,"Churned","Yes",1,96,2314,"Price","Long distance charges","United States","California","La Puente","91746","34.038983, -117.991372","34.03898300","-117.99137200","Male",67,"No","Yes","No","No",0,30802
"3606-TWKGI",1,"Q3","No",0,13,"Offer D","Yes","32.68","Yes","Yes","Cable",11,"No","Yes","Yes","No","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal","106.90","1364.30","0.00","10.00","424.84","1799.14",1,"Churned","Yes",1,84,2494,"Competitor","Competitor had better devices","United States","California","Rowland Heights","91748","33.976753, -117.897367","33.97675300","-117.89736700","Male",68,"No","Yes","No","No",0,46342
"4385-GZQXV",1,"Q3","No",0,16,"Offer D","Yes","9.43","No","Yes","Fiber Optic",9,"No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","94.45","1511.20","0.00","0.00","150.88","1662.08",1,"Churned","Yes",1,81,3810,"Competitor","Competitor had better devices","United States","California","Ontario","91764","34.074087, -117.605618","34.07408700","-117.60561800","Female",68,"No","Yes","No","No",0,49474
"3488-PGMQJ",1,"Q3","No",0,8,"None","Yes","1.78","No","Yes","Fiber Optic",7,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","74.50","606.55","0.00","0.00","14.24","620.79",2,"Churned","Yes",1,80,4345,"Dissatisfaction","Poor expertise of online support","United States","California","Alpine","91901","32.827184, -116.703729","32.82718400","-116.70372900","Male",66,"No","Yes","No","No",0,16486
"7534-BFESC",1,"Q3","No",0,24,"Offer C","Yes","30.87","Yes","Yes","Fiber Optic",15,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","76.10","1712.70","0.00","0.00","740.88","2453.58",2,"Churned","Yes",1,91,2018,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209754","32.85723000","-117.20977400","Male",69,"No","Yes","No","No",0,34902
"8098-LLAZX",1,"Q3","No",0,4,"Offer E","Yes","31.61","Yes","Yes","Fiber Optic",2,"No","No","No","No","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal","95.45","396.10","0.00","0.00","126.44","522.54",3,"Churned","Yes",1,85,3677,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209756","32.85723000","-117.20977400","Female",74,"No","Yes","No","No",0,34902
"0265-EDXBD",1,"Q3","Yes",2,32,"Offer C","Yes","47.34","Yes","Yes","Fiber Optic",10,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","74.90","2303.35","0.00","0.00","1514.88","3818.23",2,"Churned","Yes",1,69,4105,"Attitude","Attitude of support person","United States","California","San Diego","92122","32.85723, -117.209757","32.85723000","-117.20977400","Male",76,"No","Yes","Yes","No",0,34902
"2840-XANRC",1,"Q3","Yes",1,24,"Offer C","Yes","16.10","No","Yes","Cable",12,"No","No","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","93.15","2231.05","0.00","0.00","386.40","2617.45",2,"Churned","Yes",1,73,2212,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209760","32.85723000","-117.20977400","Male",77,"No","Yes","Yes","No",0,34902
"5020-ZSTTY",1,"Q3","No",0,54,"Offer B","Yes","12.08","Yes","Yes","DSL",5,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal","82.45","4350.10","0.00","0.00","652.32","5002.42",1,"Churned","Yes",1,83,4149,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209761","32.85723000","-117.20977400","Female",70,"No","Yes","No","No",0,34902
"5804-LEPIM",1,"Q3","No",0,2,"Offer E","Yes","13.17","No","Yes","Fiber Optic",10,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","70.35","139.05","0.00","0.00","26.34","165.39",3,"Churned","Yes",1,73,2671,"Other","Don't know","United States","California","San Diego","92122","32.85723, -117.209762","32.85723000","-117.20977400","Female",74,"No","Yes","No","No",0,34902
"0623-IIHUG",1,"Q3","No",0,21,"None","No","0.00","No","Yes","Cable",8,"Yes","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","41.90","840.10","0.00","0.00","0.00","840.10",1,"Churned","Yes",1,90,4778,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209770","32.85723000","-117.20977400","Female",77,"No","Yes","No","No",0,34902
"9057-MSWCO",1,"Q3","No",0,27,"None","No","0.00","No","Yes","Cable",13,"Yes","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","30.75","805.10","0.00","140.00","0.00","945.10",1,"Churned","Yes",1,91,2927,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209772","32.85723000","-117.20977400","Male",71,"No","Yes","Yes","No",0,34902
"4895-TMWIR",1,"Q3","Yes",1,11,"None","Yes","29.54","No","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","No","Mailed Check","19.95","214.75","0.00","0.00","324.94","539.69",1,"Churned","Yes",1,80,5888,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209778","32.85723000","-117.20977400","Male",79,"No","Yes","Yes","No",0,34902
"0533-BNWKF",1,"Q3","Yes",2,55,"Offer B","Yes","42.82","Yes","Yes","Fiber Optic",27,"No","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","85.45","4874.70","0.00","90.00","2355.10","7319.80",1,"Churned","Yes",1,91,5502,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209779","32.85723000","-117.20977400","Female",66,"No","Yes","Yes","No",0,34902
"0334-GDDSO",1,"Q3","No",0,3,"Offer E","Yes","9.22","Yes","Yes","Fiber Optic",14,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","81.35","233.70","0.00","0.00","27.66","261.36",1,"Churned","Yes",1,73,2818,"Competitor","Competitor made better offer","United States","California","San Diego","92122","32.85723, -117.209784","32.85723000","-117.20977400","Male",77,"No","Yes","No","No",0,34902
"5564-NEMQO",1,"Q3","No",0,1,"Offer E","Yes","35.09","No","Yes","Fiber Optic",17,"No","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","75.30","75.30","0.00","20.00","35.09","130.39",2,"Churned","Yes",1,67,4902,"Dissatisfaction","Network reliability","United States","California","Thermal","92274","33.53604, -116.119222","33.53604000","-116.11922200","Female",80,"No","Yes","No","No",0,17018
"6235-VDHOM",1,"Q3","No",0,5,"Offer E","No","0.00","No","Yes","DSL",26,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","28.45","131.05","0.00","0.00","0.00","131.05",2,"Churned","Yes",1,89,4099,"Dissatisfaction","Limited range of services","United States","California","Riverside","92509","34.004379, -117.447864","34.00437900","-117.44786400","Female",77,"No","Yes","No","No",0,63999
"5609-CEBID",1,"Q3","No",0,20,"None","Yes","48.73","Yes","Yes","Fiber Optic",12,"No","Yes","Yes","No","No","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal","94.10","1782.40","0.00","80.00","974.60","2837.00",1,"Churned","Yes",1,87,2666,"Competitor","Competitor had better devices","United States","California","Hemet","92544","33.644585, -116.871544","33.64458500","-116.87154400","Female",77,"No","Yes","No","No",0,39264
"5956-VKDTT",1,"Q3","Yes",4,5,"Offer E","Yes","45.76","Yes","Yes","Fiber Optic",22,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","74.35","334.80","0.00","0.00","228.80","563.60",1,"Churned","Yes",1,82,5273,"Dissatisfaction","Product dissatisfaction","United States","California","Moreno Valley","92557","33.970661, -117.255039","33.97066100","-117.25503900","Female",72,"No","Yes","Yes","No",0,46214
"0257-ZESQC",1,"Q3","Yes",2,27,"None","Yes","7.02","No","Yes","Cable",25,"Yes","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","75.20","1929.35","0.00","0.00","189.54","2118.89",1,"Churned","Yes",1,91,4517,"Attitude","Attitude of support person","United States","California","Perris","92571","33.828289, -117.201666","33.82828900","-117.20166600","Female",80,"No","Yes","Yes","No",0,26357
"2865-TCHJW",1,"Q3","No",0,4,"None","Yes","48.35","Yes","Yes","Cable",24,"No","No","Yes","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","89.20","346.20","0.00","0.00","193.40","539.60",1,"Churned","Yes",1,74,5808,"Competitor","Competitor had better devices","United States","California","Anaheim","92807","33.848733, -117.788357","33.84873300","-117.78835700","Female",74,"No","Yes","No","No",0,36301
"5192-EBGOV",1,"Q3","No",0,1,"None","Yes","45.81","Yes","Yes","Fiber Optic",21,"No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","85.70","85.70","0.00","0.00","45.81","131.51",1,"Churned","Yes",1,66,4880,"Competitor","Competitor had better devices","United States","California","Brea","92823","33.924143, -117.79387","33.92414300","-117.79387000","Female",68,"No","Yes","No","No",0,1408
"3419-SNJJD",1,"Q3","Yes",3,65,"Offer B","Yes","18.39","Yes","Yes","Fiber Optic",28,"Yes","No","Yes","No","Yes","Yes","No","Yes","Month-to-Month","No","Bank Withdrawal","105.25","6786.40","0.00","0.00","1195.35","7981.75",1,"Churned","Yes",1,91,4196,"Attitude","Attitude of support person","United States","California","Yorba Linda","92887","33.884073, -117.732197","33.88407300","-117.73219700","Female",78,"No","Yes","Yes","No",0,20893
"4554-YGZIH",1,"Q3","Yes",3,49,"Offer B","Yes","22.92","Yes","Yes","Fiber Optic",14,"No","Yes","No","No","No","Yes","No","Yes","Month-to-Month","No","Credit Card","90.05","4547.25","0.00","0.00","1123.08","5670.33",2,"Churned","Yes",1,96,5059,"Competitor","Competitor made better offer","United States","California","Summerland","93067","34.420998, -119.60137","34.42099800","-119.60137000","Male",75,"No","Yes","Yes","No",0,576
"5099-BAILX",1,"Q3","Yes",1,43,"Offer B","Yes","14.52","Yes","Yes","Fiber Optic",5,"No","Yes","Yes","Yes","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal","110.75","4687.90","0.00","0.00","624.36","5312.26",2,"Churned","Yes",1,65,2728,"Competitor","Competitor made better offer","United States","California","Santa Barbara","93101","34.419203, -119.710008","34.41920300","-119.71000800","Male",77,"No","Yes","Yes","No",0,31727
"4913-EHYUI",1,"Q3","No",0,56,"Offer B","Yes","48.80","Yes","Yes","Fiber Optic",12,"Yes","No","Yes","No","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal","104.55","5794.65","0.00","0.00","2732.80","8527.45",1,"Churned","Yes",1,91,6268,"Competitor","Competitor offered higher download speeds","United States","California","Alpaugh","93201","35.869626, -119.498771","35.86962600","-119.49877100","Male",80,"No","Yes","Yes","No",0,1054
"1626-ERCMM",1,"Q3","Yes",7,20,"None","Yes","5.31","Yes","Yes","Fiber Optic",10,"No","No","No","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","94.55","1899.65","0.00","0.00","106.20","2005.85",1,"Churned","Yes",1,84,5604,"Competitor","Competitor had better devices","United States","California","Camp Nelson","93208","36.057458, -118.591951","36.05745800","-118.59195100","Male",75,"No","Yes","Yes","No",0,191
"5644-PDMZC",1,"Q3","No",0,2,"None","Yes","47.47","Yes","Yes","Fiber Optic",19,"No","Yes","No","No","No","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal","89.50","161.50","0.00","0.00","94.94","256.44",2,"Churned","Yes",1,80,2065,"Attitude","Attitude of support person","United States","California","Delano","93215","35.772244, -119.209689","35.77224400","-119.20968900","Female",69,"No","Yes","No","No",0,37280
"4160-AMJTL",1,"Q3","No",0,8,"None","Yes","27.95","No","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","19.65","164.30","0.00","0.00","223.60","387.90",2,"Churned","Yes",1,83,5432,"Attitude","Attitude of support person","United States","California","Fellows","93224","35.215731, -119.57013","35.21573100","-119.57013000","Female",74,"No","Yes","No","No",0,626
"0823-HSCDJ",1,"Q3","No",0,52,"None","No","0.00","No","Yes","DSL",18,"No","Yes","No","No","Yes","Yes","Yes","No","Month-to-Month","Yes","Bank Withdrawal","49.15","2550.90","0.00","30.00","0.00","2580.90",2,"Churned","Yes",1,90,5597,"Competitor","Competitor made better offer","United States","California","Temecula","92592","33.507255, -117.029473","33.50725500","-117.02947300","Male",76,"No","Yes","No","No",0,46171
"0067-DKWBL",1,"Q3","No",0,2,"None","Yes","43.99","No","Yes","DSL",27,"Yes","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","49.25","91.10","0.00","0.00","87.98","179.08",2,"Churned","Yes",1,95,3475,"Competitor","Competitor made better offer","United States","California","San Diego","92129","32.961064, -117.134917","32.96106400","-117.13491700","Male",69,"No","Yes","No","No",0,47224
"5244-IRFIH",1,"Q3","Yes",1,33,"None","Yes","27.78","Yes","Yes","Fiber Optic",8,"No","No","No","No","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal","94.50","3105.55","0.00","0.00","916.74","4022.29",3,"Churned","Yes",1,91,4333,"Other","Poor expertise of online support","United States","California","San Diego","92129","32.961064, -117.134917","32.96106400","-117.13491700","Male",72,"No","Yes","Yes","No",0,47224
"2684-EIWEO",1,"Q3","No",0,30,"None","Yes","45.88","Yes","Yes","Fiber Optic",19,"Yes","Yes","Yes","No","No","No","No","Yes","Month-to-Month","No","Credit Card","91.70","2758.15","0.00","0.00","1376.40","4134.55",1,"Churned","Yes",1,90,2482,"Competitor","Competitor made better offer","United States","California","San Diego","92129","32.961064, -117.134917","32.96106400","-117.13491700","Female",69,"No","Yes","No","No",0,47224
"6683-VLCTZ",1,"Q3","No",0,20,"None","Yes","44.44","Yes","Yes","Fiber Optic",13,"No","No","Yes","No","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal","98.55","1842.80","0.00","120.00","888.80","2851.60",3,"Churned","Yes",1,92,5444,"Competitor","Competitor made better offer","United States","California","San Diego","92129","32.961064, -117.134917","32.96106400","-117.13491700","Male",73,"No","Yes","No","No",0,47224
"0691-IFBQW",1,"Q3","No",0,46,"None","Yes","2.37","Yes","Yes","Fiber Optic",20,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal","110.00","4874.80","0.00","0.00","109.02","4983.82",1,"Churned","Yes",1,81,2403,"Competitor","Competitor made better offer","United States","California","Biola","93606","36.798882, -120.019511","36.79888200","-120.01951100","Female",65,"No","Yes","No","No",0,807
"3643-AHCFP",1,"Q3","Yes",1,7,"None","Yes","21.91","Yes","Yes","Cable",11,"No","No","No","No","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal","95.60","644.35","0.00","0.00","153.37","797.72",3,"Churned","Yes",1,83,3265,"Competitor","Competitor made better offer","United States","California","Selma","93662","36.545322, -119.642281","36.54532200","-119.64228100","Male",74,"No","Yes","Yes","No",0,26213
"9231-ZJYAM",1,"Q3","No",0,4,"None","Yes","36.93","No","Yes","Fiber Optic",18,"No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","78.85","292.80","0.00","0.00","147.72","440.52",3,"Churned","Yes",1,72,5301,"Other","Moved","United States","California","Squaw Valley","93675","36.719141, -119.202677","36.71914100","-119.20267700","Female",65,"No","Yes","No","No",0,3146
"0727-BMPLR",1,"Q3","No",0,55,"None","Yes","37.38","Yes","Yes","Fiber Optic",7,"No","No","Yes","No","Yes","Yes","Yes","No","One Year","Yes","Bank Withdrawal","100.00","5509.30","0.00","100.00","2055.90","7665.20",3,"Churned","Yes",1,83,5679,"Competitor","Competitor offered higher download speeds","United States","California","Fresno","93706","36.654614, -119.903674","36.65461400","-119.90367400","Female",66,"No","Yes","No","No",0,35790
"0947-MUGVO",1,"Q3","Yes",1,20,"None","Yes","5.37","No","Yes","Fiber Optic",24,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","73.65","1463.50","0.00","0.00","107.40","1570.90",1,"Churned","Yes",1,95,5849,"Competitor","Competitor had better devices","United States","California","Jolon","93928","35.930782, -121.189757","35.93078200","-121.18975700","Male",71,"No","Yes","Yes","No",0,254
"0781-LKXBR",1,"Q3","No",0,9,"None","Yes","48.71","Yes","Yes","Fiber Optic",15,"No","No","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","100.50","918.60","0.00","0.00","438.39","1356.99",1,"Churned","Yes",1,70,4038,"Competitor","Competitor had better devices","United States","California","San Francisco","94102","37.7795, -122.419233","37.77950000","-122.41923300","Male",65,"No","Yes","No","No",0,28998
"1907-UBQFC",1,"Q3","No",0,10,"None","Yes","5.46","No","Yes","Fiber Optic",24,"No","Yes","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","72.85","688.65","0.00","30.00","54.60","773.25",1,"Churned","Yes",1,91,3189,"Competitor","Competitor had better devices","United States","California","San Francisco","94108","37.791998, -122.408653","37.79199800","-122.40865300","Male",69,"No","Yes","No","No",0,13723
"6513-EECDB",1,"Q3","No",0,1,"None","Yes","36.92","Yes","Yes","Fiber Optic",6,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","73.55","73.55","0.00","0.00","36.92","110.47",2,"Churned","Yes",1,94,4369,"Price","Price too high","United States","California","San Francisco","94114","37.758085, -122.434801","37.75808500","-122.43480100","Male",75,"No","Yes","Yes","No",0,30587
"7074-IEVOJ",1,"Q3","No",0,3,"None","Yes","41.90","Yes","Yes","Fiber Optic",11,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","79.40","205.05","0.00","0.00","125.70","330.75",1,"Churned","Yes",1,91,3501,"Dissatisfaction","Product dissatisfaction","United States","California","San Francisco","94130","37.820894, -122.369725","37.82089400","-122.36972500","Female",75,"No","Yes","No","No",0,1458
"4750-ZRXIU",1,"Q3","No",0,4,"None","Yes","6.68","Yes","Yes","Cable",17,"No","No","No","No","No","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal","84.60","360.10","0.00","0.00","26.72","386.82",1,"Churned","Yes",1,83,2467,"Competitor","Competitor had better devices","United States","California","Palo Alto","94304","37.386978, -122.177746","37.38697800","-122.17774600","Female",68,"No","Yes","No","No",0,1723
"7028-DVOIQ",1,"Q3","No",0,35,"None","Yes","20.83","Yes","Yes","Fiber Optic",19,"No","No","Yes","No","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal","99.05","3395.80","0.00","120.00","729.05","4244.85",1,"Churned","Yes",1,82,2074,"Other","Don't know","United States","California","Birds Landing","94512","38.140719, -121.838298","38.14071900","-121.83829800","Male",71,"No","Yes","No","No",0,138
"4208-UFFGW",1,"Q3","No",0,2,"Offer E","Yes","26.62","No","Yes","DSL",11,"No","No","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card","44.95","85.15","0.00","0.00","53.24","138.39",2,"Churned","Yes",1,84,5900,"Other","Don't know","United States","California","Byron","94514","37.83323, -121.601461","37.83323000","-121.60146100","Male",80,"No","Yes","No","No",0,10153
"9889-TMAHG",1,"Q3","No",0,8,"None","Yes","11.57","No","Yes","Fiber Optic",27,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","No","Credit Card","100.30","832.35","0.00","0.00","92.56","924.91",1,"Churned","Yes",1,74,5084,"Competitor","Competitor had better devices","United States","California","Fremont","94539","37.516791, -121.899117","37.51679100","-121.89911700","Male",66,"No","Yes","No","No",0,46917
"8919-FYFQZ",1,"Q3","Yes",2,44,"None","No","0.00","No","Yes","Cable",28,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","30.35","1359.70","0.00","0.00","0.00","1359.70",1,"Churned","Yes",1,96,4829,"Competitor","Competitor had better devices","United States","California","Livermore","94550","37.571748, -121.659562","37.57174800","-121.65956200","Male",73,"No","Yes","Yes","No",0,75929
"6646-QVXLR",1,"Q3","Yes",1,62,"None","Yes","7.11","Yes","Yes","Fiber Optic",16,"No","Yes","Yes","No","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal","103.75","6383.35","0.00","0.00","440.82","6824.17",1,"Churned","Yes",1,91,5052,"Competitor","Competitor had better devices","United States","California","Napa","94558","38.489789, -122.27011","38.48978900","-122.27011000","Male",77,"No","Yes","Yes","No",0,63947
